what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343007703984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343007706890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343007712187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343007712390
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007714015
executed,command,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.edit.text.open.editor",1343007714031
executed,command,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.edit.text.open.editor",1343007723500
executed,command,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.edit.text.open.editor",1343007724093
executed,command,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.edit.text.open.editor",1343007724656
executed,command,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.edit.text.open.editor",1343007725218
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007728953
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007730562
executed,command,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.edit.text.open.editor",1343007730578
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007733093
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007734625
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007741921
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007765046
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007805343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343007810484
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007817578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343007947437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343007963078
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343007964750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343007970546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343007989375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343008027046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008029125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008033328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343008040921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008042109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008045890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008048296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008053265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343008061812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008063125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008064453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008071468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343008083703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008092234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008092625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008092968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008093265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008093578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008093890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343008094890
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343008102093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008143296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008143859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343008147906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343008161093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343008166359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343008171031
